status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ creme-emoliente-de-cravos-com-trieta-500g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/creme-emoliente-de-cravos-com-trieta-500g_hero.webp,hero,46808,31832,45.7 KB -> 31.1 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml_thumbnail.webp,thumbnail,51303,2796,50.1 KB -> 2.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml_card.webp,card,51303,8698,50.1 KB -> 8.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml_detail.webp,detail,51303,24696,50.1 KB -> 24.1 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/serum-firmador-com-efeito-botox-dmae-up-30ml_hero.webp,hero,51303,35324,50.1 KB -> 34.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-condutor-eletroterapia-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/fluido-condutor-eletroterapia-500ml_thumbnail.webp,thumbnail,37679,1354,36.8 KB -> 1.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-condutor-eletroterapia-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/fluido-condutor-eletroterapia-500ml_card.webp,card,37679,4870,36.8 KB -> 4.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-condutor-eletroterapia-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/fluido-condutor-eletroterapia-500ml_detail.webp,detail,37679,16980,36.8 KB -> 16.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-condutor-eletroterapia-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/fluido-condutor-eletroterapia-500ml_hero.webp,hero,37679,25770,36.8 KB -> 25.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytotratha facial - creme de massagem facial lift solution.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/phytotratha facial - creme de massagem facial lift solution_thumbnail.webp,thumbnail,47890,2862,46.8 KB -> 2.8 KB
